"","X","Countries.and.territories","DateRep","Cases","Deaths"
"215","Italy.215","Italy","01/09/2020",975,8
"216","Italy.216","Italy","02/09/2020",1326,6
"217","Italy.217","Italy","03/09/2020",1397,10
"218","Italy.218","Italy","04/09/2020",1732,11
"219","Italy.219","Italy","05/09/2020",1694,16
"220","Italy.220","Italy","06/09/2020",1296,7
"221","Italy.221","Italy","07/09/2020",1150,12
"222","Italy.222","Italy","08/09/2020",1369,10
"223","Italy.223","Italy","09/09/2020",1430,14
"224","Italy.224","Italy","10/09/2020",1597,10
"225","Italy.225","Italy","11/09/2020",1616,10
"226","Italy.226","Italy","12/09/2020",1501,6
"227","Italy.227","Italy","13/09/2020",1456,7
"228","Italy.228","Italy","14/09/2020",1008,14
"229","Italy.229","Italy","15/09/2020",1229,9
"230","Italy.230","Italy","16/09/2020",1452,12
"231","Italy.231","Italy","17/09/2020",1583,13
"232","Italy.232","Italy","18/09/2020",1907,10
"233","Italy.233","Italy","19/09/2020",1637,24
"234","Italy.234","Italy","20/09/2020",1587,15
"235","Italy.235","Italy","21/09/2020",1350,17
"236","Italy.236","Italy","22/09/2020",1391,14
"237","Italy.237","Italy","23/09/2020",1640,20
"238","Italy.238","Italy","24/09/2020",1786,23
"239","Italy.239","Italy","25/09/2020",1912,20
"240","Italy.240","Italy","26/09/2020",1869,17
"241","Italy.241","Italy","27/09/2020",1766,17
"242","Italy.242","Italy","28/09/2020",1494,16
"243","Italy.243","Italy","29/09/2020",1647,24
"244","Italy.244","Italy","30/09/2020",1850,19
"245","Italy.245","Italy","01/10/2020",2548,24
"246","Italy.246","Italy","02/10/2020",2499,23
"247","Italy.247","Italy","03/10/2020",2843,27
"248","Italy.248","Italy","04/10/2020",2578,18
"249","Italy.249","Italy","05/10/2020",2257,16
"250","Italy.250","Italy","06/10/2020",2677,28
"251","Italy.251","Italy","07/10/2020",3677,31
"252","Italy.252","Italy","08/10/2020",4458,22
"253","Italy.253","Italy","09/10/2020",5372,28
"254","Italy.254","Italy","10/10/2020",5724,29
"255","Italy.255","Italy","11/10/2020",5456,26
"256","Italy.256","Italy","12/10/2020",4619,39
"257","Italy.257","Italy","13/10/2020",5898,41
"258","Italy.258","Italy","14/10/2020",7332,43
"259","Italy.259","Italy","15/10/2020",8803,83
"260","Italy.260","Italy","16/10/2020",10009,55
"261","Italy.261","Italy","17/10/2020",10925,47
"262","Italy.262","Italy","18/10/2020",11705,69
"263","Italy.263","Italy","19/10/2020",9337,73
"264","Italy.264","Italy","20/10/2020",10871,89
"265","Italy.265","Italy","21/10/2020",15199,127
"266","Italy.266","Italy","22/10/2020",16078,136
"267","Italy.267","Italy","23/10/2020",19143,91
"268","Italy.268","Italy","24/10/2020",19640,151
"269","Italy.269","Italy","25/10/2020",21273,128
"270","Italy.270","Italy","26/10/2020",17007,141
"271","Italy.271","Italy","27/10/2020",21989,221
"272","Italy.272","Italy","28/10/2020",24988,205
"273","Italy.273","Italy","29/10/2020",26829,217
"274","Italy.274","Italy","30/10/2020",31079,199
"275","Italy.275","Italy","31/10/2020",31756,297
"276","Italy.276","Italy","01/11/2020",29905,208
"277","Italy.277","Italy","02/11/2020",22253,233
"278","Italy.278","Italy","03/11/2020",28241,353
"279","Italy.279","Italy","04/11/2020",30548,352
"280","Italy.280","Italy","05/11/2020",34502,428
"281","Italy.281","Italy","06/11/2020",37802,446
"282","Italy.282","Italy","07/11/2020",39809,425
"283","Italy.283","Italy","08/11/2020",32614,331
"284","Italy.284","Italy","09/11/2020",25269,356
"285","Italy.285","Italy","10/11/2020",35090,580
"286","Italy.286","Italy","11/11/2020",32961,623
"287","Italy.287","Italy","12/11/2020",37977,636
"288","Italy.288","Italy","13/11/2020",40902,550
"289","Italy.289","Italy","14/11/2020",37249,544
"290","Italy.290","Italy","15/11/2020",33977,546
"291","Italy.291","Italy","16/11/2020",27352,504
"292","Italy.292","Italy","17/11/2020",32191,731
"293","Italy.293","Italy","18/11/2020",34280,753
"294","Italy.294","Italy","19/11/2020",36176,653
"295","Italy.295","Italy","20/11/2020",37239,699
"296","Italy.296","Italy","21/11/2020",34764,692
"297","Italy.297","Italy","22/11/2020",28337,562
"298","Italy.298","Italy","23/11/2020",22927,630
"299","Italy.299","Italy","24/11/2020",23227,853
"300","Italy.300","Italy","25/11/2020",25852,722
"301","Italy.301","Italy","26/11/2020",29001,822
"302","Italy.302","Italy","27/11/2020",28342,827
"303","Italy.303","Italy","28/11/2020",26315,686
"304","Italy.304","Italy","29/11/2020",20646,541
"305","Italy.305","Italy","30/11/2020",16376,672
"306","Italy.306","Italy","01/12/2020",19347,785
"307","Italy.307","Italy","02/12/2020",20709,684
"308","Italy.308","Italy","03/12/2020",23219,993
"309","Italy.309","Italy","04/12/2020",24110,814
"310","Italy.310","Italy","05/12/2020",21052,662
"311","Italy.311","Italy","06/12/2020",18887,564
"312","Italy.312","Italy","07/12/2020",13679,528
"313","Italy.313","Italy","08/12/2020",14837,634
"314","Italy.314","Italy","09/12/2020",12755,499
"315","Italy.315","Italy","10/12/2020",16998,887
"316","Italy.316","Italy","11/12/2020",18726,761
"317","Italy.317","Italy","12/12/2020",19902,649
"318","Italy.318","Italy","13/12/2020",17937,484
"319","Italy.319","Italy","14/12/2020",12025,491
"320","Italy.320","Italy","15/12/2020",14839,846
"321","Italy.321","Italy","16/12/2020",17568,680
"322","Italy.322","Italy","17/12/2020",18233,683
"323","Italy.323","Italy","18/12/2020",15401,674
"324","Italy.324","Italy","19/12/2020",16305,553
"325","Italy.325","Italy","20/12/2020",15102,352
"326","Italy.326","Italy","21/12/2020",10869,415
"327","Italy.327","Italy","22/12/2020",13316,628
"328","Italy.328","Italy","23/12/2020",13908,553
"329","Italy.329","Italy","24/12/2020",18039,505
"330","Italy.330","Italy","25/12/2020",19037,459
"331","Italy.331","Italy","26/12/2020",10405,261
"332","Italy.332","Italy","27/12/2020",8937,305
"333","Italy.333","Italy","28/12/2020",8581,445
"334","Italy.334","Italy","29/12/2020",11210,659
"335","Italy.335","Italy","30/12/2020",16202,575
"336","Italy.336","Italy","31/12/2020",23477,555
"337","Italy.337","Italy","01/01/2021",22210,462
"338","Italy.338","Italy","02/01/2021",11825,364
"339","Italy.339","Italy","03/01/2021",14245,347
"340","Italy.340","Italy","04/01/2021",10798,348
"341","Italy.341","Italy","05/01/2021",15375,649
"342","Italy.342","Italy","06/01/2021",20326,548
"343","Italy.343","Italy","07/01/2021",18416,414
"344","Italy.344","Italy","08/01/2021",17529,620
"345","Italy.345","Italy","09/01/2021",19976,483
"346","Italy.346","Italy","10/01/2021",18625,361
"347","Italy.347","Italy","11/01/2021",12530,448
"348","Italy.348","Italy","12/01/2021",14242,616
"349","Italy.349","Italy","13/01/2021",15773,507
"350","Italy.350","Italy","14/01/2021",17243,522
"351","Italy.351","Italy","15/01/2021",16144,477
"352","Italy.352","Italy","16/01/2021",16310,475
"353","Italy.353","Italy","17/01/2021",12544,377
"354","Italy.354","Italy","18/01/2021",8825,377
"355","Italy.355","Italy","19/01/2021",10496,603
"356","Italy.356","Italy","20/01/2021",13568,524
"357","Italy.357","Italy","21/01/2021",14055,521
"358","Italy.358","Italy","22/01/2021",13633,472
"359","Italy.359","Italy","23/01/2021",13331,488
"360","Italy.360","Italy","24/01/2021",11628,299
"361","Italy.361","Italy","25/01/2021",8559,420
"362","Italy.362","Italy","26/01/2021",10584,541
"363","Italy.363","Italy","27/01/2021",15191,467
"364","Italy.364","Italy","28/01/2021",14360,492
"365","Italy.365","Italy","29/01/2021",13563,477
"366","Italy.366","Italy","30/01/2021",12713,421
"367","Italy.367","Italy","31/01/2021",11249,237
"368","Italy.368","Italy","01/02/2021",7925,329
"369","Italy.369","Italy","02/02/2021",9651,499
"370","Italy.370","Italy","03/02/2021",13182,476
"371","Italy.371","Italy","04/02/2021",13656,421
"372","Italy.372","Italy","05/02/2021",14213,377
"373","Italy.373","Italy","06/02/2021",13439,385
"374","Italy.374","Italy","07/02/2021",11640,270
"375","Italy.375","Italy","08/02/2021",7969,307
"376","Italy.376","Italy","09/02/2021",10612,422
"377","Italy.377","Italy","10/02/2021",12947,336
"378","Italy.378","Italy","11/02/2021",15137,391
"379","Italy.379","Italy","12/02/2021",13893,316
"380","Italy.380","Italy","13/02/2021",13523,311
"381","Italy.381","Italy","14/02/2021",11060,221
"382","Italy.382","Italy","15/02/2021",7344,258
"383","Italy.383","Italy","16/02/2021",10368,336
